,year,count_zero_embargo,count_zeroish
0,2016,101663,101663
1,2017,125126,125126
2,2018,144336,144336
3,2019,213325,213325
4,2020,466762,471419
5,2021,614478,633786
6,2022,159420,170289
7,2023,0,0
8,2024,0,0
9,2025,0,0
10,2026,0,0
11,2027,0,0
12,2028,0,0
13,2029,0,0
14,2030,0,0
15,2031,0,0
16,2032,0,0
17,2038,0,0
18,2041,0,0
19,2042,0,0
20,2043,0,0
21,2044,0,0
22,2045,0,0
23,2047,0,0
24,2048,0,0
25,2049,0,0
26,2050,0,0
27,2051,0,0
28,2055,0,0
29,2059,0,0
30,2061,0,0
31,2075,0,0
32,2077,0,0
33,2080,0,0
34,2081,0,0
35,2086,0,0
36,2088,0,0
37,2091,0,0
38,2099,0,0
39,2100,0,0
40,2101,0,0
41,2102,0,0
42,2103,0,0
43,2104,0,0
44,2105,0,0
45,2106,0,0
46,2107,0,0
47,2108,0,0
48,2109,0,0
49,2114,0,0
50,2115,0,0
51,2116,0,0
52,2117,0,0
53,2121,0,0
54,2122,0,0
55,2200,0,0
56,2203,0,0
